transaction_text,merchant,amount,date,label
ONLINE PAYMENT TO MORE SUPERMARKET TXN5247,more supermarket,3732.6,2025-08-05,groceries
indigoc*x601 POS Txn,indigo,929.27,2025-08-14,travel
PURCHAxE zee5 Ref#8795,zee5,1658.66,2024-12-14,entertainment
IMPS uransfer to spencers,spencers,92.85,2025-01-03,groceries
IMPS transfer to big bazaar,big bazaar,2810.86,2024-11-27,groceries
Txn 56494: Dmart 2015.78,dmart,2015.78,2025-02-19,groceries
Purchase Amazon Ref#7365,amazon,1695.64,2025-06-21,shopping
payment to mcdonalds via netbanking,mcdonalds,3195.63,2025-06-02,restaurants
upi payment to mcdonaqds@ybl,mcdonalds,657.15,2025-06-26,restaurants
Debit Card Dmart 2808,dmart,2808.95,2025-02-24,groceries
Debit Card More Supermarket 2240,more supermarket,2240.68,2024-12-13,groceries
UPI payment to zomato@ybl,zomato,2589.58,2025-08-14,restaurants
PAYMENT TO netflix VIA NETBANKING,netflix,831.94,2025-07-03,entertainment
POS dominos 2433 TXN,dominos,2433.03,2025-04-13,restaurants
UPI payment to vendikin@ybl,vendikin,634.44,2024-12-01,restaurants
DEBIT CARD UBER 3540,uber,3540.06,2025-04-07,travel
HOTSTAR *3632 POS TXN,hotstar,2313.3,2025-01-22,entertainment
UPI payment to flipkart@ybl,flipkart,4219.21,2025-02-03,shopping
indigo *8666 POS Txp,indigo,3917.31,2025-06-14,travel
IMPS transfer to reliance fresh,reliance fresh,3598.9,2025-08-30,groceries
aAYMENT TO reliancecfresu VIA NETBANKING,reliance fresh,3307.33,2025-02-04,groceries
DEBIT CARD IRCTC 4292,irctc,4292.28,2025-01-28,travel
Online payment to zee5,zee5,3907.8,2025-08-31,entertainment
POS OLA 1530 TXN,ola,1530.98,2025-06-05,travel
UPI payment to more supermarket@ybl,more supermarket,2382.07,2025-01-08,groceries
PAyMEnT To bookMYShow ViA neTBAnKING,bookmyshow,1636.5,2025-01-12,entertainment
PURCHASE bwssb Ref#1422,bwssb,1218.69,2025-10-05,utilities
UPI payment to ola@ybl,ola,3248.0,2025-06-02,travel
PURCHASE bescom Ref#7951,bescom,4886.36,2024-12-16,utilities
UPI payment to kfc@ybl NEFT4742,kfc,2835.26,2025-05-20,restaurants
POS vendikin 4110 TXN,vendikin,4110.56,2025-02-04,restaurants
IMPS transfer to goibibo,goibibo,3035.77,2025-08-06,travel
DEBIT CARD GOIBIBO 1167,goibibo,1167.19,2025-03-08,travel
Online payment to vodafone,vodafone,1343.74,2025-05-26,utilities
Txn 19690: bescom 252.98,bescom,252.98,2025-06-05,utilities
IMPS TRANSFER TO FLIPKART,flipkart,2698.51,2024-12-15,shopping
UPI payment to spencers@ybl,spencers,1276.86,2025-08-27,groceries
Txn 73209: Flipkart 878.05,flipkart,878.05,2025-06-28,shopping
Imps Transfer To Myntra,myntra,790.95,2025-01-06,shopping
Txn 15808: mcdonalds 3111.7,mcdonalds,3111.7,2025-07-21,restaurants
Pos Airtel Broadband 1158 Txn,airtel broadband,1158.33,2025-05-29,utilities
DEBIT CARD AIRTEL BROADBAND 4396,airtel broadband,4396.8,2025-01-01,utilities
Online payment to myntra,myntra,4455.99,2025-02-09,shopping
myntra *8387 POS Txn,myntra,1782.92,2025-05-09,shopping
DEBIT CARD BOOKMYSHOW 4093,bookmyshow,4093.62,2025-02-20,entertainment
ONLINE PAYMENT TO SPENCERS,spencers,4068.05,2025-01-20,groceries
POS ajio 4495 TXN,ajio,4495.5,2025-10-31,shopping
PURCHASE kfc Ref#9334,kfc,1617.0,2025-07-17,restaurants
IMPSlttansfer to dmart,dmart,2967.3,2025-06-28,groceries
uber *7157 POS Txn,uber,3153.99,2025-07-09,travel
PURcHasE goibIBo rEF#8947,goibibo,1703.84,2025-04-17,travel
Payment To Dmart Via Netbankcng,dmart,4147.94,2025-03-01,groceries
ONLINE PAYFENT BO HYKAA,nykaa,1764.31,2025-09-05,shopping
DEBIT CARD BESCOM 2150,bescom,2150.26,2025-02-06,utilities
UPI payment to irctc@ybl,irctc,4590.56,2025-05-04,travel
PAYMENTfTO mwhsb VIA NETBANKING Ref6195,bwssb,2451.81,2024-12-17,utilities
deBIT CArd dMART 3551,dmart,3551.22,2025-03-10,groceries
tXN 50126: BIg baZaAR 3820.02 nEFt1973,big bazaar,3820.02,2025-06-11,groceries
pURchase ReliancE FrEsh ReF#9154,reliance fresh,360.24,2024-11-19,groceries
IMPS transfer to spotify,spotify,3849.75,2025-04-08,entertainment
pURcHASe iRCTC rCF#1728,irctc,1464.92,2024-11-29,travel
TXN 11961: AMAZON 1177.69,amazon,1177.69,2024-12-08,shopping
DEBIT CARD SPOTIFY 859,spotify,859.58,2024-11-28,entertainment
POS reliance fresh 1795 TXN,reliance fresh,1795.23,2025-11-01,groceries
Online payment to goibibo,goibibo,854.77,2025-09-23,travel
plipkart *7882 POS Txn,flipkart,2714.5,2024-11-30,shopping
IMPS transfer to goibibo,goibibo,398.58,2025-06-08,travel
IMPS transfer to bookmyshow,bookmyshow,1742.06,2025-10-31,entertainment
Txn 90692: reliance fresh 2496.04,reliance fresh,2496.04,2025-03-20,groceries
IMPS transfer to kfc,kfc,1799.4,2025-07-05,restaurants
Online payment to reliance fresh,reliance fresh,3091.27,2025-08-05,groceries
dEbIT cArD FLipKARt 71,flipkart,71.87,2025-09-07,shopping
Txn 77605: netflix 4996.78,netflix,4996.78,2025-01-30,entertainment
Txn 84227: uber 265.82,uber,265.82,2024-12-23,travel
DEBIT CARD NYKAA 1778,nykaa,1778.86,2024-12-07,shopping
POS bwssb 2098 TXN,bwssb,2098.6,2025-09-04,utilities
PAYMENT TO spotify VIA NETBANKING,spotify,3719.75,2025-07-01,entertainment
PURCHASE irctc Ref#6542,irctc,1394.34,2025-07-16,travel
Online payment to airtel broadband,airtel broadband,1564.33,2025-01-30,utilities
PAYMENT TO flipkart VIA NETBANKING,flipkart,756.96,2025-01-06,shopping
Online payment to ajio,ajio,4524.69,2025-04-15,shopping
TXN 86341: OLA 1803.82,ola,1803.82,2025-09-09,travel
POSibig bazaer 4546 TXN,big bazaar,4546.74,2025-07-22,groceries
Online payment to zee5,zee5,2445.01,2025-10-30,entertainment
spencers *2150 POS Txn,spencers,184.27,2025-04-06,groceries
Txn 72778: zee5 148.72,zee5,148.72,2025-07-04,entertainment
aURCHASE dmart oef#2880,dmart,1843.67,2025-07-18,groceries
Payment To Amazon Via Netbanking,amazon,3383.89,2025-10-08,shopping
PAYMENT TO vendikin VIA NETBANKING,vendikin,778.74,2024-11-21,restaurants
Online payment to big bazaar POS1504,big bazaar,2382.12,2025-08-07,groceries
IMPS transfer to irctc,irctc,3582.01,2025-06-01,travel
Txn 82555: Dominos 4516.39,dominos,4516.39,2025-06-23,restaurants
PAYMENT TO bwssb VIA NETBANKING,bwssb,330.5,2025-05-09,utilities
Txn 13538: dominos 494.95,dominos,494.95,2025-04-18,restaurants
DEBIT CARD BOOKnYSHOW 3162,bookmyshow,3162.08,2025-02-23,entertainment
IMPS transfer to big bazaar,big bazaar,2035.2,2025-01-16,groceries
bookmyshow *9306 POS Txn,bookmyshow,4321.59,2025-04-17,entertainment
DEBIT CARD BWSSB 3958,bwssb,3958.7,2025-08-15,utilities
IMPS transfer to more supermarket,more supermarket,2542.65,2025-04-17,groceries
puRCHaSE FlIpKart rEf#7857,flipkart,4485.36,2025-02-10,shopping
DEBIT CARD DOMINOS 4007,dominos,4007.14,2025-02-06,restaurants
UPI payment to reliance fresh@ybl,reliance fresh,211.4,2025-08-28,groceries
Txn 51376: spotify 920.69 Online595,spotify,920.69,2025-11-03,entertainment
PURCHASE amazon Ref#1023,amazon,2104.49,2025-04-15,shopping
PURCHASE zee5 Ref#9264,zee5,1059.97,2024-11-28,entertainment
online payment to bookmyshow,bookmyshow,3527.29,2025-02-22,entertainment
ajio *8731 POS Txn,ajio,2812.02,2025-08-18,shopping
PURCHeSE flipkart Ref#2902,flipkart,694.6,2025-08-26,shopping
DEBIT CARg UBER 4250,uber,4250.72,2025-07-16,travel
POS uber 3976 TXN,uber,3976.28,2024-12-27,travel
PURCHASE ajio Ref#9443,ajio,4131.73,2025-01-13,shopping
UPI payment to bescom@ybl Ref4128,bescom,656.76,2025-10-04,utilities
DEBIT CARD MCDONALDS 1737,mcdonalds,1737.78,2024-11-27,restaurants
DEBIT CARD DOMINOS 2328,dominos,2328.93,2025-10-08,restaurants
zoiato *2702 POS Txn,zomato,1292.05,2025-10-08,restaurants
Txn 26846: myntra 1503.2,myntra,1503.2,2025-10-28,shopping
ola *6975 POS Txn,ola,3482.77,2025-05-01,travel
uPI PAYMEnt To MyntrA@Ybl,myntra,849.62,2025-02-06,shopping
UPI payment to big bazaar@ybl Ref7935,big bazaar,681.79,2025-02-17,groceries
Debit Card Amazon 4841,amazon,4841.65,2025-08-21,shopping
PAYMENTiTO goibibo VIA NETBANKING,goibibo,4888.3,2025-10-23,travel
PURCHASE dmart Ref#7000 Ref7268,dmart,994.29,2024-11-20,groceries
POS spencers 1884 TXN,spencers,1884.65,2025-08-02,groceries
pos vendikin 4194 txn neft754,vendikin,4194.77,2025-03-30,restaurants
PAYMENT TO irctc VIA NETBANKING,irctc,4187.4,2025-10-20,travel
Txn 55264: bwssb 2833.05,bwssb,2833.05,2024-12-14,utilities
IMPS transfer to hotstar IMPS9994,hotstar,4285.72,2025-05-23,entertainment
UPI payment to spencers@ybl,spencers,998.29,2024-11-28,groceries
Txn 54706: amjzon h312.64,amazon,4312.64,2025-01-28,shopping
DEBIT CARD HOTSTAR 2077,hotstar,2077.81,2025-03-30,entertainment
IMPS TRANSFER TO IRCTC,irctc,1467.8,2025-05-18,travel
Txn 59352: more supermarket 4897.93,more supermarket,4897.93,2025-10-30,groceries
payment to goibibo via netbanking,goibibo,1295.56,2025-03-28,travel
IMPS tranieer to ola,ola,2919.88,2025-01-04,travel
PAYMENT TO ola VIA NETBANKING,ola,2038.06,2025-05-14,travel
IMPS trahsfer to ubew,uber,3768.0,2025-04-15,travel
Online payment to tata power,tata power,4124.46,2025-08-04,utilities
Online payment to spotify,spotify,2197.58,2025-01-08,entertainment
IMPS transfer to netflix,netflix,917.29,2025-04-08,entertainment
POS myntra 954 TXN,myntra,954.28,2025-03-13,shopping
UPI payment to reliance fresh@ybl,reliance fresh,1292.86,2025-05-18,groceries
PAYMENT TO irctc VIA NETBANKING,irctc,248.86,2025-08-28,travel
vendikin *7415 POS Txn,vendikin,2431.76,2024-12-27,restaurants
wOS ola 1437zTXN Ref700,ola,1437.69,2025-02-15,travel
DEBIT CARD INDIGO 2245,indigo,2245.03,2024-12-09,travel
POS mcdonalds 544 TXN,mcdonalds,544.81,2024-12-17,restaurants
POS amazon 3723 TXN,amazon,3723.07,2024-11-20,shopping
Online payment to swiggy,swiggy,1965.68,2025-08-19,restaurants
PAYMENT TO big bazaar VIA NETBANKING,big bazaar,2010.19,2025-10-05,groceries
POS reliance fresh 3419 TXN,reliance fresh,3419.86,2025-01-18,groceries
Txn 95280: airtel broadband 2146.59,airtel broadband,2146.59,2025-04-08,utilities
PAYMENT TO goibibo VIA NETBANKING,goibibo,3380.56,2024-12-16,travel
POS hlipkart 4513 TXN,flipkart,4513.45,2024-11-20,shopping
IMPS transfer to zomato,zomato,3706.94,2024-11-21,restaurants
DEkIT Card bwSSBh2946 imPs7354,bwssb,2946.11,2025-06-24,utilities
Online payment to spotify,spotify,1388.59,2025-06-25,entertainment
ONLINE PAYMENT TO VENDIKIN,vendikin,4608.68,2025-08-05,restaurants
PAYMENT TO NETFLIX VIA NETBANKING,netflix,3799.06,2025-01-18,entertainment
Online payment to dmart,dmart,4772.98,2025-06-24,groceries
myntra *5363 POS Txn,myntra,4753.68,2025-05-30,shopping
PAYMENT TO indigo VIA NETBANKING,indigo,1713.2,2025-07-25,travel
Txn 90696: bookmyshow 4688.98,bookmyshow,4688.98,2025-03-14,entertainment
PURCHASE zee5 Ref#y829 UPI4017,zee5,4332.84,2024-12-31,entertainment
PURCHASE hotstar Ref#1423,hotstar,1961.4,2024-12-23,entertainment
pURchASe veNdikIn ReF#3757 uPi7742,vendikin,2077.11,2025-03-14,restaurants
PAYMENT TO irctc VIA NETBANKING,irctc,3705.37,2025-09-23,travel
POS indigo 647 TXN,indigo,647.74,2025-08-14,travel
PURCHASE GOIBIBO REF#7354,goibibo,1529.06,2025-08-05,travel
PAYMENT TO amazon VIA NETBANKING,amazon,2657.88,2025-03-17,shopping
PAYMENT TO airtej broadband VIA NExBANKING,airtel broadband,1683.17,2025-05-14,utilities
DEBIT CARD SPENCERS 4828,spencers,4828.79,2025-11-03,groceries
UPI payment to reliance fresh@ybl,reliance fresh,4374.1,2025-09-02,groceries
hotstar *3601 POS Txn,hotstar,326.31,2025-05-22,entertainment
POS swiggy 2414 TXN,swiggy,2414.1,2024-12-26,restaurants
imps transfer to bwssb,bwssb,2675.51,2025-09-28,utilities
reliance fresh *2085 POS Txn,reliance fresh,2159.25,2025-03-30,groceries
IMPS transfer to goibibo,goibibo,3866.83,2025-03-11,travel
IMPS transfer to bwssb,bwssb,4976.51,2024-12-10,utilities
PURCHASE ola Ref#7328,ola,691.86,2024-11-21,travel
Online payment to uber,uber,510.74,2025-01-11,travel
IRCTC *8254 POS TXN,irctc,3146.93,2025-07-19,travel
uber *6219 POS Txn,uber,1823.46,2025-10-22,travel
UPI payment to zomano@yba,zomato,2374.06,2025-05-26,restaurants
DEBIT CARD SPENCERS 4720,spencers,4720.06,2025-02-07,groceries
debit cArd bWSSb 3370,bwssb,3370.31,2025-04-05,utilities
deBIt CarD MyNTrA 2683,myntra,2683.08,2025-06-05,shopping
oNline PayGeNT to aMtzoN,amazon,4635.12,2025-02-26,shopping
IMPS transfer to flipkart,flipkart,4773.13,2025-08-27,shopping
POS spencers 3916 TXN,spencers,3916.01,2025-01-06,groceries
POS nykaa 732 TXN,nykaa,732.36,2025-08-19,shopping
IMPS transfer to spotify,spotify,1271.56,2025-04-14,entertainment
flipkart *7991 POS Txn,flipkart,1105.47,2025-08-08,shopping
Txn 91362: dmart 331.72,dmart,331.72,2025-06-10,groceries
Online payment to airtel broadband,airtel broadband,2212.44,2025-07-14,utilities
PURCHASE bookmyshow Ref#4089,bookmyshow,3793.58,2025-10-09,entertainment
DEBIT CARD SWIGGY 959,swiggy,959.73,2025-10-03,restaurants
PURCHASE spotify Ref#4039,spotify,464.19,2025-07-22,entertainment
Online payment to tata power,tata power,567.42,2025-03-19,utilities
Online payment to bescom,bescom,3571.6,2024-11-19,utilities
Online payment to big bazaar,big bazaar,1499.8,2025-09-14,groceries
POS big bazaar 3477 TXN,big bazaar,3477.82,2025-09-22,groceries
upi payment to swiggy@ybl,swiggy,3259.92,2024-12-29,restaurants
pOs SpENcers 4519 txN rEF8366,spencers,4519.63,2025-10-13,groceries
PURCHASE big bazaar Ref#6052,big bazaar,3977.94,2025-07-22,groceries
Txn 40033: indigo 3495.89,indigo,3495.89,2024-11-23,travel
PAYMENT TO myntra VIA NETBANKING,myntra,4267.05,2025-06-20,shopping
Purchase Reliance Fresh Ref#6033,reliance fresh,1055.27,2024-12-25,groceries
upiipayment to goibibo@ybl,goibibo,620.03,2025-05-28,travel
UPI payment to flipkart@ybl,flipkart,4099.81,2025-02-03,shopping
PAYMENT TO spotify VIA NETBANKING,spotify,898.72,2025-10-28,entertainment
Txo 66137: airtel broadband 4344.66,airtel broadband,4344.66,2025-08-03,utilities
PAYMENT TO spencers VIA NETBANKING,spencers,3866.75,2024-12-30,groceries
SPENCERS *3637 POS TXN TXN4899,spencers,64.2,2025-07-23,groceries
IMPS transfer to vodafone,vodafone,845.31,2025-02-02,utilities
POS mcdonalds 1290 TXN,mcdonalds,1290.41,2025-05-06,restaurants
DEBIT CARD NYKAA 3785,nykaa,3785.74,2024-11-25,shopping
IMPS transfer to tata power,tata power,251.26,2024-12-25,utilities
PURCHASE flipkart Ref#4475 NEFT7649,flipkart,2137.02,2025-03-19,shopping
DEBIT CARD ZOMATO 4283,zomato,4283.0,2025-05-17,restaurants
Online payment to airtel broadband,airtel broadband,3008.62,2025-11-04,utilities
PURCHASE netflix Ref#1626,netflix,443.54,2025-10-25,entertainment
DEBIT CARD BIG BAZAAR 251,big bazaar,251.35,2025-08-20,groceries
DEBIT CARD OLA 4314,ola,4314.79,2025-04-01,travel
DeBIt CaRD zOMaTO 4939 NeFT3311,zomato,4939.72,2025-07-13,restaurants
Txn 12593: flipkart 780.84,flipkart,780.84,2025-11-05,shopping
PAYMENT TO zomato VIA NETBANKING,zomato,2340.81,2024-12-18,restaurants
PAYMENT TO tata power VIA NETBANKING Ref4878,tata power,862.92,2025-06-19,utilities
Paymens To Gogbibo Via Netbanking,goibibo,928.49,2025-09-25,travel
Txn 27593: reliance fresh 803.92,reliance fresh,803.92,2025-03-22,groceries
Online payment to big bazaar,big bazaar,2138.71,2025-10-24,groceries
DEBIT CARD BESCOM 3550,bescom,3550.14,2025-01-15,utilities
Txn 19757: kfc 599.57,kfc,599.57,2025-06-21,restaurants
Txn 92554: big bazaar 873.35,big bazaar,873.35,2025-04-23,groceries
PURCHASE irctc Ref#6588,irctc,4311.5,2025-08-09,travel
IMPS transffrzto reliance fresd,reliance fresh,246.91,2025-07-13,groceries
UPI payment to netflix@ybl,netflix,4954.13,2025-03-26,entertainment
Online payment to swiggy,swiggy,1391.97,2025-10-19,restaurants
PURCHASE bwssb Ref#3107,bwssb,4269.88,2025-10-21,utilities
Txn 98259: reliance fresh 3725.99,reliance fresh,3725.99,2025-08-26,groceries
PURCHASE vodafone Ref#8110 POS4624,vodafone,4234.74,2024-12-26,utilities
Pos Zomato 3008 Txn,zomato,3008.74,2025-03-21,restaurants
IMPS transfer to spencers,spencers,1996.42,2025-03-06,groceries
IMPs trANsfEr To fLIpkArt,flipkart,3995.16,2025-04-10,shopping
PAYMENT TO ola VIA NETBANKING,ola,654.55,2025-06-25,travel
PURcHASe HOtSTaR ReF#7539,hotstar,1787.48,2025-06-10,entertainment
pOS bWsSb 2584 txn,bwssb,2584.01,2025-01-12,utilities
Online payment to vodafone,vodafone,1919.08,2025-01-27,utilities
uber *8751 pos txn,uber,454.23,2025-04-14,travel
DEBIT CARD AIRTEL BROADBAND 1209,airtel broadband,1209.93,2024-11-25,utilities
pos vendikin 4526 txn,vendikin,4526.68,2025-03-14,restaurants
Online paygenz qo swiggy UPI8388,swiggy,1525.03,2025-10-30,restaurants
PURCHASE ajio Ref#4794,ajio,4510.37,2025-01-24,shopping
debit card ola 4878,ola,4878.6,2024-12-08,travel
Txn 62248: bookmyshow 3975.38,bookmyshow,3975.38,2024-11-12,entertainment
UPI payment to flipkart@ybl,flipkart,2859.34,2025-02-09,shopping
Online payment to goibibo,goibibo,4592.58,2025-07-24,travel
reliance fresh *8063 POS Txn,reliance fresh,470.34,2025-05-13,groceries
POS ajio 1874 TXN,ajio,1874.22,2025-05-29,shopping
spencers *5306 POS Txn,spencers,2614.64,2025-01-20,groceries
UPI payment to zomato@ybl,zomato,526.42,2025-09-08,restaurants
Online payment to bwssb Ref9176,bwssb,2935.11,2025-05-08,utilities
Txn 34289: ola 321.51,ola,321.51,2025-03-12,travel
UPI payment to nykaa@ybl,nykaa,3289.4,2025-04-27,shopping
Txn 68822: bescom 557.54,bescom,557.54,2025-07-11,utilities
PAYMENT TO goibibo VIA NETBANKING,goibibo,1585.1,2024-12-02,travel
DEBIT CARD BOOKMYSHOW 1583,bookmyshow,1583.24,2025-08-03,entertainment
UPI payment to more supermarket@ybl,more supermarket,2065.96,2025-07-25,groceries
Online payment to bookmyshow,bookmyshow,3930.6,2025-11-04,entertainment
Online payment to zomato,zomato,4179.53,2025-02-10,restaurants
IMPS transfer to more supermarket,more supermarket,1625.9,2025-08-12,groceries
UPI payment to bescom@ybl Ref9290,bescom,3568.56,2025-09-30,utilities
UPI payment to amazon@ybl,amazon,1789.4,2025-04-07,shopping
PAYMENY TO DMART VIA IETBANPING,dmart,4429.36,2025-03-22,groceries
POS uber 519 TXN,uber,519.15,2025-07-08,travel
DEBIT CARD ZOMATO 1875 Ref7188,zomato,1875.11,2025-04-11,restaurants
jOS bookmyshow 2807 TXN,bookmyshow,2807.7,2025-04-09,entertainment
payment to bwssb via netbanking,bwssb,3183.91,2025-06-21,utilities
swiggy *3480 POS Txn,swiggy,2523.82,2025-10-14,restaurants
More Supermarket *7855 Pos Txn,more supermarket,3935.85,2025-08-03,groceries
DEBIT CARD ZEE5 3910,zee5,3910.93,2024-12-01,entertainment
Online payment to bwssb,bwssb,2720.8,2025-03-09,utilities
Online payment to indigo,indigo,454.97,2024-12-01,travel
nykaa *8184 pos txn,nykaa,689.46,2025-04-28,shopping
ONLINE PAYMENT TO MYNTRA,myntra,2158.43,2025-09-22,shopping
snline payment to netflix,netflix,3678.72,2025-02-17,entertainment
Txn 51778: reliance fresh 3363.82,reliance fresh,3363.82,2025-06-22,groceries
DEBIT CARD BIG BAZAAR 198,big bazaar,198.88,2025-08-29,groceries
zee5 *6026 POS Txn,zee5,184.77,2025-03-06,entertainment
PURCHASE indigo Ref#7709,indigo,1399.16,2025-05-22,travel
Online Payment To Myntra,myntra,3921.0,2025-07-25,shopping
imps transfer to irctc,irctc,2155.85,2025-02-09,travel
DEBIT CARD KFC 1545,kfc,1545.19,2025-11-04,restaurants
UPI paymenj to irctc@ybl,irctc,3384.25,2025-04-23,travel
TXN 36941: KFC 4334.07,kfc,4334.07,2025-09-25,restaurants
dmart *5665 POS Txn,dmart,3925.53,2025-08-24,groceries
POS hotstar 4624 TXN,hotstar,4624.45,2025-04-02,entertainment
txn 44266: uBeR 2163.59,uber,2163.59,2025-06-25,travel
puRCHasE taTa PoWer ReF#2533 imps9344,tata power,2750.1,2025-05-01,utilities
POS more supermarket 3569 TXN,more supermarket,3569.23,2025-07-22,groceries
PURCHASE vendikin Ref#3587,vendikin,3939.59,2024-11-12,restaurants
PURCHASE ddminos Ref#2408,dominos,1807.8,2025-01-22,restaurants
DEBIT CARD BIG BAZAAR 3886,big bazaar,3886.67,2025-03-04,groceries
PAYMENT TO netflix VIA NETBANKING,netflix,2577.82,2025-03-24,entertainment
PAYMENT TO ola VIA NETBANKING,ola,4315.99,2025-03-10,travel
Txn 71899: indigo 4116.39,indigo,4116.39,2024-12-24,travel
DEBIT CARD AJIO 3687,ajio,3687.92,2025-11-03,shopping
Online payment to hotstar,hotstar,240.15,2025-02-04,entertainment
PAYMENT TO bescom VIA NETBANKING,bescom,1101.93,2025-05-28,utilities
Online payment to more supermarket,more supermarket,2001.2,2025-04-19,groceries
DEBIT CARD BWSSB 62,bwssb,62.12,2025-09-18,utilities
DEBIT CARD AIRTEL BROADBAND 2356,airtel broadband,2356.32,2025-03-03,utilities
IMPS transfer to ola,ola,2395.41,2025-04-03,travel
mNRe suPErMArkeT *4278 BoG TxN,more supermarket,1436.07,2025-08-21,groceries
Payuent Uh Uber Via Netcanking,uber,2766.58,2025-07-21,travel
PAYMENT TO spencers VIA NETBANKING,spencers,3938.14,2025-09-30,groceries
POS irctc 1964 TXN,irctc,1964.9,2024-11-09,travel
Netflix *5042 Pos Txn Txn5007,netflix,3069.41,2025-06-22,entertainment
Online payment td vendikin,vendikin,4523.43,2025-06-01,restaurants
Txn 12358: bescom 1531.14,bescom,1531.14,2025-07-23,utilities
POS dmart 1353 TXN,dmart,1353.18,2025-06-29,groceries
OnliNE PAyMENT TO MCDOnaLds ImPS3029,mcdonalds,3320.82,2025-06-21,restaurants
Pos Indigo 890 Txn,indigo,890.42,2025-07-15,travel
PURCHASE airtel broadband Ref#3330,airtel broadband,4166.84,2025-09-29,utilities
IMPS transfer to amazon,amazon,3109.13,2025-06-22,shopping
IMPS transfer to netflix UPI5652,netflix,2199.57,2025-03-12,entertainment
PAYMENT TO kfc VIA NETBANKING,kfc,1521.41,2024-12-06,restaurants
upi payment to uber@ybl,uber,3033.91,2025-09-07,travel
PURCHASE spencers Ref#3123,spencers,2605.29,2025-06-11,groceries
online payment to myntra,myntra,4141.48,2025-06-17,shopping
spotify *1457 POS Txn,spotify,4193.72,2024-11-20,entertainment
POS swiggy 4427 TXN,swiggy,4427.01,2025-04-11,restaurants
